,Unnamed: 0,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot
422,3339,Brandon Hagel,8479542,L,26,82,35.0,90.0,34.0,21.0,20.74329268292683,1.0975609756097562,0.6707317073170732,0.4268292682926829,292.0,0.9376395,77.0,0.38588104,32.0,0.52598614,44.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8479542.png
423,3343,Michael Pezzetta,8479543,L,26,25,0.0,0.0,0.0,0.0,5.934,0.0,0.0,0.0,243.0,0.34071398,28.0,0.05645158,5.0,0.08236087,7.0,https://assets.nhle.com/mugs/nhl/20242025/MTL/8479543.png
424,3348,Tanner Laczynski,8479550,C,27,8,1.0,1.0,0.0,0.0,8.6,0.125,0.0,0.125,274.0,0.3188842,27.0,0.061682116,6.0,0.07962416,7.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8479550.png
425,3354,Vincent Desharnais,8479576,D,28,51,0.0,3.0,0.0,3.0,15.918954248366012,0.0588235294117647,0.0588235294117647,0.0,208.0,0.67173225,56.0,0.026309554,3.0,0.110905156,10.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479576.png
426,3365,Michael Eyssimont,8479591,C,28,77,9.0,16.0,3.0,4.0,10.613852813852814,0.2077922077922078,0.0909090909090909,0.1168831168831168,245.0,0.74153346,61.0,0.11037313,10.0,0.12330728,11.0,https://assets.nhle.com/mugs/nhl/20242025/SEA/8479591.png
427,3370,Michael Carcone,8479619,L,28,53,7.0,19.0,3.0,9.0,11.43301886792453,0.3584905660377358,0.2264150943396226,0.1320754716981132,240.0,0.7326566,61.0,0.14585732,12.0,0.15403336,13.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479619.png
428,3372,Justin Brazeau,8479638,R,26,76,11.0,22.0,8.0,3.0,11.86469298245614,0.2894736842105263,0.1447368421052631,0.1447368421052631,225.0,0.7584082,63.0,0.154344,13.0,0.16675681,14.0,https://assets.nhle.com/mugs/nhl/20242025/MIN/8479638.png
429,3384,Tanner Jeannot,8479661,L,27,67,7.0,13.0,2.0,4.0,11.016666666666667,0.1940298507462686,0.0895522388059701,0.1044776119402985,249.0,0.74570423,62.0,0.09279958,8.0,0.10815008,9.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479661.png
430,3390,Mathieu Olivier,8479671,R,27,82,18.0,32.0,6.0,8.0,14.459146341463416,0.3902439024390244,0.1707317073170731,0.2195121951219512,267.0,0.8188217,68.0,0.14467375,12.0,0.18581179,16.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8479671.png
431,3396,Trevor Moore,8479675,L,29,71,18.0,40.0,9.0,13.0,16.876995305164318,0.5633802816901409,0.3098591549295774,0.2535211267605634,249.0,0.87640524,72.0,0.24008144,20.0,0.28431475,24.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479675.png
432,3407,Zack MacEwen,8479772,R,28,21,2.0,3.0,0.0,1.0,7.76111111111111,0.1428571428571428,0.0476190476190476,0.0952380952380952,242.0,0.33663455,28.0,0.054581363,5.0,0.075692065,7.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8479772.png
433,3412,Justin Danforth,8479941,R,31,61,9.0,21.0,7.0,5.0,14.384426229508197,0.3442622950819672,0.1967213114754098,0.1475409836065573,267.0,0.7235375,60.0,0.14505185,12.0,0.1467149,13.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8479941.png
434,3413,Dominik Shine,8479942,R,31,9,0.0,1.0,0.0,1.0,8.644444444444444,0.1111111111111111,0.1111111111111111,0.0,235.0,0.20642196,17.0,0.054985266,5.0,0.069360726,6.0,https://assets.nhle.com/mugs/nhl/20242025/DET/8479942.png
435,3418,Zachary Aston-Reese,8479944,C,30,79,6.0,17.0,6.0,5.0,13.444725738396626,0.2151898734177215,0.1392405063291139,0.0759493670886076,267.0,0.72629106,60.0,0.10065821,9.0,0.12050466,10.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8479944.png
436,3424,Vinni Lettieri,8479968,C,29,26,3.0,5.0,2.0,0.0,13.517948717948716,0.1923076923076923,0.0769230769230769,0.1153846153846153,222.0,0.4308737,36.0,0.08187988,7.0,0.10249325,9.0,https://assets.nhle.com/mugs/nhl/20242025/BOS/8479968.png
437,3433,Juuso Vlimki,8479976,D,26,43,2.0,5.0,2.0,1.0,16.553100775193798,0.1162790697674418,0.0697674418604651,0.0465116279069767,240.0,0.5211281,43.0,0.040370908,4.0,0.17271061,15.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479976.png
438,3439,Kailer Yamamoto,8479977,R,26,12,2.0,3.0,1.0,0.0,12.1125,0.25,0.0833333333333333,0.1666666666666666,240.0,0.4617133,38.0,0.10248211,9.0,0.1596551,14.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479977.png
439,3445,Nicolas Hague,8479980,D,26,68,5.0,12.0,2.0,5.0,16.99607843137255,0.1764705882352941,0.1029411764705882,0.0735294117647058,274.0,0.7509981,62.0,0.040036254,4.0,0.17146957,15.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8479980.png
440,3449,Jonah Gadjovich,8479981,L,26,42,4.0,4.0,0.0,0.0,8.450396825396826,0.0952380952380952,0.0,0.0952380952380952,246.0,0.4199846,35.0,0.06565573,6.0,0.06747163,6.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8479981.png
441,3453,Conor Timmins,8479982,D,26,68,3.0,15.0,6.0,6.0,16.92205882352941,0.2205882352941176,0.1764705882352941,0.0441176470588235,242.0,0.668674,55.0,0.04179034,4.0,0.19200894,16.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8479982.png
442,3459,Mario Ferraro,8479983,D,26,78,5.0,17.0,7.0,5.0,21.401495726495725,0.2179487179487179,0.1538461538461538,0.0641025641025641,208.0,0.8649131,71.0,0.041789368,4.0,0.19484474,16.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479983.png
443,3465,Cale Fleury,8479985,D,26,14,0.0,1.0,0.0,1.0,12.866666666666664,0.0714285714285714,0.0714285714285714,0.0,245.0,0.27864745,23.0,0.026609324,3.0,0.07336565,7.0,https://assets.nhle.com/mugs/nhl/20242025/SEA/8479985.png
444,3471,Morgan Geekie,8479987,C,26,77,33.0,57.0,14.0,10.0,16.92034632034632,0.7402597402597403,0.3116883116883117,0.4285714285714285,222.0,0.8782281,73.0,0.29120415,24.0,0.3145833,26.0,https://assets.nhle.com/mugs/nhl/20242025/BOS/8479987.png
