,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot,Predicted Games Played Percentage LSTM,Predicted Goals Scored Percentage LSTM,Predicted Assists Percentage LSTM,Predicted Games Played Percentage GRU,Predicted Goals Scored Percentage GRU,Predicted Assists Percentage GRU,Predicted Games Played LSTM,Predicted Goals Scored per 82 Games LSTM,Predicted Assits per 82 Games LSTM,Predicted Games Played GRU,Predicted Goals Scored per 82 Games GRU,Predicted Assits per 82 Games GRU
669,Artem Zub,8482245,D,29,56,2.0,13.0,4.0,7.0,20.633333333333333,0.2321428571428571,0.1964285714285714,0.0357142857142857,242.0,0.734403,61.0,0.03829031,4.0,0.17610432,15.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482245.png,0.75490427,0.04413173,0.18523575,0.73338705,0.03660209,0.17105398,62.0,4.0,16.0,61.0,4.0,15.0
670,Bobby McMann,8482259,C,28,74,20.0,34.0,7.0,7.0,14.49662162162162,0.4594594594594595,0.1891891891891892,0.2702702702702703,267.0,0.8470389,70.0,0.20104875,17.0,0.22772379,19.0,https://assets.nhle.com/mugs/nhl/20242025/TOR/8482259.png,0.71360445,0.15084244,0.16167141,0.7158293,0.16485627,0.15481505,59.0,13.0,14.0,59.0,14.0,13.0
671,Jeff Malott,8482408,L,28,12,0.0,1.0,0.0,1.0,10.275,0.0833333333333333,0.0833333333333333,0.0,249.0,0.32079923,27.0,0.05606242,5.0,0.076559715,7.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8482408.png,0.44606018,0.07752964,0.14355002,0.48476928,0.09606203,0.122975804,37.0,7.0,12.0,40.0,8.0,11.0
672,Mikael Pyyhtia,8482451,L,23,47,4.0,7.0,3.0,0.0,12.09964539007092,0.1489361702127659,0.0638297872340425,0.0851063829787234,267.0,0.39598086,33.0,0.048569225,4.0,0.13556771,12.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8482451.png,0.3000738,0.05934717,0.08338947,0.3800179,0.057226185,0.08897602,25.0,5.0,7.0,32.0,5.0,8.0
673,Matt Rempe,8482460,C,22,42,3.0,8.0,2.0,3.0,8.507539682539683,0.1904761904761904,0.119047619047619,0.0714285714285714,255.0,0.58764696,49.0,0.07826123,7.0,0.11415447,10.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8482460.png,0.5617936,0.0656799,0.12461341,0.6450138,0.07408558,0.122927316,47.0,6.0,11.0,53.0,7.0,11.0
674,Yegor Chinakhov,8482475,R,23,30,7.0,15.0,5.0,3.0,15.722222222222223,0.5,0.2666666666666666,0.2333333333333333,267.0,0.7431641,61.0,0.20622288,17.0,0.21704894,18.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8482475.png,0.58493215,0.23000903,0.25261617,0.637407,0.25405368,0.26427555,48.0,19.0,21.0,53.0,21.0,22.0
675,Emil Heineman,8482476,L,23,62,10.0,18.0,5.0,3.0,11.39220430107527,0.2903225806451613,0.1290322580645161,0.1612903225806451,243.0,0.6229515,52.0,0.12229702,11.0,0.15183766,13.0,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482476.png,0.7412758,0.10813479,0.13209876,0.77464926,0.11525737,0.13929231,61.0,9.0,11.0,64.0,10.0,12.0
676,Adam Wilsby,8482482,D,24,23,1.0,5.0,1.0,3.0,18.09855072463768,0.217391304347826,0.1739130434782608,0.0434782608695652,212.0,0.4107259,34.0,0.04061428,4.0,0.12597017,11.0,https://assets.nhle.com/mugs/nhl/20242025/NSH/8482482.png,0.45854384,0.06304667,0.14621112,0.43803278,0.050818097,0.13690689,38.0,6.0,12.0,36.0,5.0,12.0
677,Nils Aman,8482496,C,24,19,1.0,6.0,1.0,4.0,10.484210526315788,0.3157894736842105,0.2631578947368421,0.0526315789473684,233.0,0.37932503,32.0,0.07488229,7.0,0.12150997,10.0,https://assets.nhle.com/mugs/nhl/20242025/VAN/8482496.png,0.34448314,0.052283715,0.12110404,0.46325132,0.07152676,0.14056346,29.0,5.0,10.0,38.0,6.0,12.0
678,Mason Lohrei,8482511,D,23,77,5.0,33.0,9.0,19.0,19.527489177489176,0.4285714285714285,0.3636363636363636,0.0649350649350649,222.0,0.84887576,70.0,0.09721036,8.0,0.32951823,28.0,https://assets.nhle.com/mugs/nhl/20242025/BOS/8482511.png,0.7279689,0.059812035,0.30584067,0.77484584,0.060109574,0.2981174,60.0,5.0,26.0,64.0,5.0,25.0
